team,wins,Assist / Turnover Ratio,Assists per FGM,Assists per Possession,Average 1st Half Margin,Average 2nd Half Margin,Block %,Consistency Power Rating,Defensive Efficiency,Defensive Rebounding %,Effective Possession Ratio,Extra Scoring Chances per Game,Field Goals Attempted per Game,Field Goals Made per Game,Floor %,Free Throw %,Free Throws Attempted per Field Goal Attempted,Free Throws Attempted per Game,Free Throws Attempted per Offensive Play,Free Throws Made per 100 Possessions,Free Throws Made per Game,Last 10 Games Power Rating,Last 5 Games Power Rating,Luck Power Rating,Offensive Efficiency,Offensive Rebounding %,Opponent 1st Half Points per Game,Opponent Assist / Turnover Ratio,Opponent Assists per FGM,Opponent Assists per Possession,Opponent Block %,Opponent Effective Possession Ratio,Opponent FTA per FGA,Opponent Floor %,Opponent Free Throw %,Opponent Free Throws Attempted per Offensive Play,Opponent Free Throws Made per 100 Possessions,Opponent Percent of Points from 2 Pointers,Opponent Percent of Points from 3 Pointers,Opponent Percent of Points from Free Throws,Opponent Personal Fouls per Defensive Play,Opponent Personal Fouls per Possession,Opponent Points from 2 pointers,Opponent Points from 3 pointers,Opponent Points per Game,Opponent Shooting %,Opponent Steals per Defensive Play,Opponent Steals per Possession,Opponent Three Point %,Opponent Three Point Rate,Opponent True Shooting %,Opponent Turnovers per Offensive Play,Opponent Turnovers per Possession,Opponent Two Point %,Opponent Two Point Rate,Overtime Points per Game,Percent of Points from 2 Pointers,Percent of Points from 3 Pointers,Percent of Points from Free Throws,Personal Fouls per Defensive Play,Personal Fouls per Possession,Points from 2 pointers,Points from 3 pointers,Points per Game,Possessions per Game,Predictive Power Rating,Shooting %,Steals per Defensive Play,Steals per Possession,Strength of Schedule Power Rating,Three Point %,Three Point Rate,Three Pointers Attempted per Game,Three Pointers Made per Game,Total Rebounding % (Rebound Rate),True Shooting %,Turnovers per Offensive Play,Turnovers per Possession,Two Point %,Two Point Rate,Vs. Teams 1-25 Power Rating,Vs. Teams 26-50 Power Rating,Vs. Teams 51-100 Power Rating,Win % - All Games,Win % - Close Games
2024 UConn,,1.881,0.637,0.272,8.9,8.1,9.5,10.8,0.946,76.8,1.003,3.4,58.6,29.1,55.4,74.2,0.333,19.5,25.0,21.288,14.5,29.3,29.2,2.4,1.196,35.4,30.8,0.97,0.46,0.152,4.9,0.954,0.325,45.0,72.2,24.3,19.518,51.4,27.9,20.6,21.6,24.7,33.1,18.0,64.4,39.8,7.0,8.1,31.9,33.2,98.5,14.1,15.7,43.7,66.8,0.0,49.8,32.4,17.8,21.4,23.8,40.6,26.4,81.5,68.1,22.3,49.6,8.2,9.2,11.8,36.7,40.9,24.0,8.8,56.2,119.9,12.6,14.5,58.5,59.1,24.7,24.1,24.9,0.912,0.8
2024 Houston,,1.457,0.491,0.195,10.4,5.4,9.5,8.9,0.86,72.6,1.053,11.0,60.7,26.4,51.6,69.4,0.299,18.2,23.1,19.048,12.6,24.7,25.8,1.3,1.102,36.9,24.9,0.714,0.602,0.172,4.7,0.887,0.39,41.0,67.0,26.0,19.669,44.9,32.2,22.9,20.4,24.2,25.6,18.4,57.0,37.9,6.5,7.7,30.0,40.9,96.3,21.3,24.1,43.4,59.1,0.7,51.1,31.7,17.3,23.8,26.9,37.3,23.1,73.0,66.2,23.2,43.4,13.4,15.1,12.5,34.7,36.6,22.2,7.7,52.7,105.3,11.3,13.4,48.4,63.4,22.0,24.0,23.0,0.882,0.667
2024 Purdue,,1.602,0.645,0.259,9.5,3.6,6.1,8.4,0.99,76.7,0.994,1.2,58.4,28.5,55.7,72.1,0.428,25.0,30.5,25.436,18.0,19.7,20.2,2.0,1.176,37.0,31.7,1.478,0.551,0.203,3.9,0.976,0.23,45.8,72.4,18.2,14.706,53.8,31.2,14.9,25.2,29.2,37.8,21.9,70.2,41.9,8.4,9.7,31.4,37.2,101.1,12.4,13.8,48.1,62.8,1.4,48.4,30.0,21.6,18.2,20.3,40.4,25.0,83.4,70.9,22.2,48.8,7.2,8.0,12.7,40.8,35.0,20.4,8.3,57.7,118.7,14.0,16.2,53.2,65.0,22.5,16.2,25.9,0.879,0.571
2024 North Carolina,,1.405,0.516,0.197,4.6,6.7,6.6,9.4,0.956,80.0,1.002,3.9,62.5,28.1,52.2,75.4,0.368,23.0,27.4,23.614,17.4,18.3,22.4,0.6,1.109,31.3,34.4,0.956,0.406,0.139,6.2,0.949,0.283,44.7,74.4,21.7,17.69,51.6,29.9,18.5,22.4,25.6,36.2,21.0,70.2,40.7,6.7,7.6,31.4,36.1,100.4,13.3,14.5,46.0,63.9,0.4,49.5,29.2,21.3,20.7,22.7,40.3,23.8,81.5,73.5,18.2,44.9,7.2,7.9,10.2,35.4,35.9,22.4,7.9,55.0,110.9,12.3,14.0,50.3,64.1,19.5,20.8,18.3,0.794,0.429
2024 Tennessee,,1.627,0.612,0.233,5.3,6.3,8.0,11.0,0.944,73.1,1.006,4.4,61.8,27.4,51.3,74.9,0.343,21.2,25.6,22.083,15.9,20.4,16.0,-0.9,1.105,31.9,32.1,0.843,0.495,0.156,4.7,0.944,0.358,44.3,70.7,25.7,20.562,44.7,33.6,21.8,22.1,25.4,30.3,22.8,67.9,38.9,8.0,9.2,31.4,41.4,99.3,16.4,18.6,44.3,58.6,0.0,47.1,32.9,20.0,21.5,24.3,37.4,26.2,79.5,71.9,19.8,44.4,9.8,11.0,11.7,34.2,41.3,25.5,8.7,52.4,110.6,12.5,14.3,51.6,58.7,21.6,16.1,21.8,0.75,0.2
2024 Arizona,,1.549,0.591,0.244,9.3,6.2,5.6,13.3,0.946,79.4,0.994,5.9,64.5,31.5,54.9,71.9,0.367,23.7,27.0,22.296,17.0,23.1,19.0,-3.1,1.151,35.1,32.5,1.029,0.526,0.182,5.8,0.916,0.257,43.8,71.1,19.2,14.957,51.1,33.1,15.8,21.9,25.2,36.9,23.9,72.2,42.3,8.0,9.2,33.4,38.2,103.0,16.2,17.7,47.8,61.8,1.5,54.0,26.7,19.4,19.6,21.4,47.5,23.5,87.9,76.4,22.0,48.9,9.9,10.8,11.0,37.1,32.6,21.1,7.8,57.1,116.1,13.7,15.8,54.6,67.4,30.6,16.6,16.3,0.758,0.2
2024 Marquette,,1.592,0.543,0.223,5.3,3.1,5.6,10.3,0.983,71.3,0.968,3.3,60.9,29.1,50.7,71.5,0.256,15.6,19.8,15.722,11.1,16.9,15.8,1.1,1.104,24.5,33.2,0.988,0.592,0.205,5.0,0.921,0.282,44.9,75.3,20.4,17.34,46.4,35.9,17.6,18.6,20.7,32.4,25.1,69.7,42.4,7.2,8.0,33.6,43.1,106.3,18.4,20.7,49.2,56.9,0.4,51.8,33.9,14.2,19.2,21.7,40.6,26.6,78.3,70.9,17.4,47.8,10.7,12.1,11.8,35.8,40.5,24.7,8.9,48.0,114.6,12.7,14.0,56.0,59.5,16.6,19.1,15.9,0.735,0.714
2024 Iowa St,,1.483,0.579,0.227,8.3,6.0,5.9,10.6,0.884,71.9,0.98,7.4,58.4,27.1,52.2,69.7,0.361,21.1,26.9,21.21,14.7,21.6,25.7,1.0,1.09,30.3,27.8,0.697,0.585,0.174,5.9,0.873,0.352,41.0,71.2,23.3,18.58,43.3,35.7,21.0,23.3,26.4,26.5,21.9,61.3,40.0,7.8,8.9,31.5,45.0,102.2,22.2,24.9,46.9,55.0,0.0,54.7,25.7,19.5,21.1,23.7,41.3,19.4,75.6,69.3,19.3,46.4,13.4,15.1,11.6,34.9,31.8,18.6,6.5,50.6,110.4,13.5,15.3,51.8,68.2,21.7,19.4,14.4,0.794,0.75
2024 Baylor,,1.218,0.539,0.21,2.8,6.3,5.5,9.5,1.02,74.8,0.962,1.5,56.8,27.3,53.6,74.0,0.405,23.0,29.0,24.326,17.0,17.5,15.4,0.3,1.146,33.1,33.4,1.165,0.529,0.195,6.1,0.941,0.309,48.0,73.0,22.7,18.379,53.4,28.6,18.0,24.3,27.5,38.1,20.3,71.3,45.4,8.8,10.0,33.5,35.5,109.2,15.1,16.8,51.9,64.5,1.8,46.7,32.1,21.2,21.7,24.1,37.4,25.7,80.1,69.9,16.9,48.0,8.2,9.1,11.8,39.4,38.3,21.8,8.6,54.3,118.3,15.2,17.3,53.3,61.7,14.8,17.7,18.4,0.688,0.5
2024 Creighton,,1.621,0.586,0.243,6.4,4.5,6.2,11.5,0.989,77.2,0.951,-4.0,60.1,29.2,50.9,78.1,0.245,14.7,19.0,16.306,11.5,20.5,16.6,-1.1,1.142,23.8,32.5,1.464,0.409,0.161,4.6,1.008,0.162,46.2,78.7,13.6,11.964,63.0,24.9,12.1,18.9,20.8,43.9,17.3,69.7,42.0,7.9,8.7,32.2,27.2,98.0,9.8,11.0,45.7,72.8,1.5,46.3,39.5,14.3,14.3,16.0,37.3,31.8,80.5,70.5,17.7,48.6,5.0,5.6,10.5,36.1,48.9,29.3,10.6,53.1,120.1,13.6,15.0,60.6,51.1,18.1,16.8,14.9,0.719,0.444
2024 Kentucky,,1.648,0.546,0.228,6.2,3.6,9.7,10.8,1.036,72.8,0.969,0.0,64.7,32.2,53.3,77.3,0.304,19.7,23.1,19.738,15.2,18.1,14.6,-0.2,1.162,26.0,36.8,1.206,0.52,0.188,5.6,0.97,0.333,48.5,72.0,25.0,20.226,48.7,31.8,19.5,19.9,22.1,38.8,25.3,79.7,42.9,7.6,8.4,32.6,39.9,106.1,13.9,15.6,49.8,60.1,0.9,49.7,33.3,17.0,20.2,22.7,44.4,29.8,89.4,76.9,15.7,49.7,8.9,10.0,9.4,41.2,37.3,24.1,9.9,50.6,120.8,12.5,13.8,54.7,62.7,21.0,13.5,12.8,0.719,0.444
2024 Illinois,,1.199,0.443,0.178,5.1,5.7,5.9,8.2,1.009,76.3,1.007,1.0,62.3,29.3,54.4,74.0,0.374,23.3,27.7,23.7,17.2,19.6,21.1,0.2,1.157,34.4,34.6,1.323,0.424,0.16,5.2,0.993,0.269,48.1,71.1,21.2,16.786,58.5,24.9,16.6,22.2,25.7,42.9,18.3,73.4,43.1,6.6,7.7,34.2,27.8,101.8,10.9,12.1,46.5,72.2,0.9,49.7,29.8,20.5,18.8,21.0,41.8,25.1,84.2,72.8,17.9,47.0,5.3,5.9,10.8,35.0,38.4,23.9,8.4,55.7,114.6,12.9,14.9,54.4,61.6,15.7,21.7,15.2,0.758,0.571
