"id","team","wins"
1,"2007 North Carolina",3
2,"2007 Michigan State",1
3,"2007 USC",2
4,"2007 Texas",1
5,"2007 Vanderbilt",2
6,"2007 Washington State",1
7,"2007 Boston College",1
8,"2007 Georgetown",4
9,"2007 Florida",6
10,"2007 Purdue",1
11,"2007 Butler",2
12,"2007 Maryland",1
13,"2007 Winthrop",1
14,"2007 Oregon",3
15,"2007 UNLV",2
16,"2007 Wisconsin",1
17,"2007 Ohio State",5
18,"2007 Xavier",1
19,"2007 Tennessee",2
20,"2007 Virginia",1
21,"2007 Louisville",1
22,"2007 Texas A&M",2
23,"2007 Nevada",1
24,"2007 Memphis",3
25,"2007 Kansas",3
26,"2007 Kentucky",1
27,"2007 Virginia Tech",1
28,"2007 Southern Illinois",2
29,"2007 VCU",1
30,"2007 Pittsburgh",2
31,"2007 Indiana",1
32,"2007 UCLA",4
33,"2007 Eastern Kentucky",0
34,"2007 Marquette",0
35,"2007 Arkansas",0
36,"2007 New Mexico State",0
37,"2007 George Washington",0
38,"2007 Oral Roberts",0
39,"2007 Texas Tech",0
40,"2007 Belmont",0
41,"2007 Jackson State",0
42,"2007 Arizona",0
43,"2007 Old Dominion",0
44,"2007 Davidson",0
45,"2007 Notre Dame",0
46,"2007 Miami (Ohio)",0
47,"2007 Georgia Tech",0
48,"2007 Texas A&M-Corpus Christi",0
49,"2007 Central Connecticut State",0
50,"2007 BYU",0
51,"2007 Long Beach State",0
52,"2007 Albany",0
53,"2007 Stanford",0
54,"2007 Penn",0
55,"2007 Creighton",0
56,"2007 North Texas",0
57,"2007 Niagara",0
58,"2007 Villanova",0
59,"2007 Illinois",0
60,"2007 Holy Cross",0
61,"2007 Duke",0
62,"2007 Wright State",0
63,"2007 Gonzaga",0
64,"2007 Weber State",0
65,"2008 North Carolina",4
66,"2008 Arkansas",1
67,"2008 Notre Dame",1
68,"2008 Washington State",2
69,"2008 Oklahoma",1
70,"2008 Louisville",3
71,"2008 Butler",1
72,"2008 Tennessee",2
73,"2008 Kansas",6
74,"2008 UNLV",1
75,"2008 Villanova",2
76,"2008 Siena",1
77,"2008 Kansas State",1
78,"2008 Wisconsin",2
