"id","team","wins"
1,"2017 Villanova",1
2,"2017 Duke",1
3,"2017 Baylor",2
4,"2017 Florida",3
5,"2017 Virginia",1
6,"2017 Southern California",1
7,"2017 South Carolina",4
8,"2017 Wisconsin",2
9,"2017 Gonzaga",5
10,"2017 Arizona",2
11,"2017 Florida State",1
12,"2017 West Virginia",2
13,"2017 Notre Dame",1
14,"2017 Xavier",3
15,"2017 Saint Mary's",1
16,"2017 Northwestern",1
17,"2017 North Carolina",6
18,"2017 Kentucky",3
19,"2017 UCLA",2
20,"2017 Butler",2
21,"2017 Middle Tennessee",1
22,"2017 Cincinnati",1
23,"2017 Wichita State",1
24,"2017 Arkansas",1
25,"2017 Kansas",3
26,"2017 Louisville",1
27,"2017 Oregon",4
28,"2017 Purdue",2
29,"2017 Iowa State",1
30,"2017 Rhode Island",1
31,"2017 Michigan",2
32,"2017 Michigan State",1
33,"2017 Mount St. Mary's",0
34,"2017 Troy",0
35,"2017 New Mexico State",0
36,"2017 East Tennessee State",0
37,"2017 UNC Wilmington",0
38,"2017 SMU",0
39,"2017 Marquette",0
40,"2017 Virginia Tech",0
41,"2017 South Dakota State",0
42,"2017 North Dakota",0
43,"2017 Florida Gulf Coast",0
44,"2017 Bucknell",0
45,"2017 Princeton",0
46,"2017 Maryland",0
47,"2017 VCU",0
48,"2017 Vanderbilt",0
49,"2017 Texas Southern",0
50,"2017 Northern Kentucky",0
51,"2017 Kent State",0
52,"2017 Winthrop",0
53,"2017 Minnesota",0
54,"2017 Kansas State",0
55,"2017 Dayton",0
56,"2017 Seton Hall",0
57,"2017 UC Davis",0
58,"2017 Jacksonville State",0
59,"2017 Iona",0
60,"2017 Vermont",0
61,"2017 Nevada",0
62,"2017 Creighton",0
63,"2017 Oklahoma State",0
64,"2017 Miami (Fla.)",0
65,"2016 North Carolina",5
66,"2016 Xavier",1
67,"2016 Stephen F. Austin",1
68,"2016 Kentucky",1
69,"2016 Indiana",2
70,"2016 Notre Dame",3
71,"2016 Wisconsin",2
72,"2016 Providence",1
73,"2016 Oregon",3
74,"2016 Oklahoma",4
75,"2016 Texas",2
76,"2016 Duke",2
77,"2016 Yale",1
78,"2016 Northern Iowa",1
