"id","team","year","tablename","value"
1,"N Carolina",2007,"Predictive Power Rating","33.3"
2,"Kansas",2007,"Predictive Power Rating","29.4"
3,"Florida",2007,"Predictive Power Rating","29.3"
4,"Texas A&M",2007,"Predictive Power Rating","27.6"
5,"Wisconsin",2007,"Predictive Power Rating","25.8"
6,"Duke",2007,"Predictive Power Rating","25.0"
7,"Texas",2007,"Predictive Power Rating","23.2"
8,"Kentucky",2007,"Predictive Power Rating","22.8"
9,"Arizona",2007,"Predictive Power Rating","21.9"
10,"Oregon",2007,"Predictive Power Rating","21.9"
11,"Clemson",2007,"Predictive Power Rating","21.8"
12,"Tennessee",2007,"Predictive Power Rating","20.4"
13,"Illinois",2007,"Predictive Power Rating","20.4"
14,"Creighton",2007,"Predictive Power Rating","20.0"
15,"Gonzaga",2007,"Predictive Power Rating","19.8"
16,"Purdue",2007,"Predictive Power Rating","19.7"
17,"Akron",2007,"Predictive Power Rating","19.6"
18,"Marquette",2007,"Predictive Power Rating","19.6"
19,"Connecticut",2007,"Predictive Power Rating","19.2"
20,"Wash State",2007,"Predictive Power Rating","19.2"
21,"BYU",2007,"Predictive Power Rating","19.1"
22,"Nevada",2007,"Predictive Power Rating","18.4"
23,"Virginia",2007,"Predictive Power Rating","18.2"
24,"Alabama",2007,"Predictive Power Rating","17.4"
25,"Texas Tech",2007,"Predictive Power Rating","16.4"
26,"San Diego St",2007,"Predictive Power Rating","14.4"
27,"NC State",2007,"Predictive Power Rating","14.2"
28,"Nebraska",2007,"Predictive Power Rating","13.8"
29,"Houston",2007,"Predictive Power Rating","13.3"
30,"Auburn",2007,"Predictive Power Rating","13.3"
31,"St Marys",2007,"Predictive Power Rating","12.7"
32,"Baylor",2007,"Predictive Power Rating","12.1"
33,"UAB",2007,"Predictive Power Rating","11.9"
34,"Lg Beach St",2007,"Predictive Power Rating","11.8"
35,"Boise St",2007,"Predictive Power Rating","11.7"
36,"Drake",2007,"Predictive Power Rating","11.4"
37,"W Kentucky",2007,"Predictive Power Rating","11.3"
38,"Col Charlestn",2007,"Predictive Power Rating","11.2"
39,"Colorado St",2007,"Predictive Power Rating","10.8"
40,"S Carolina",2007,"Predictive Power Rating","10.5"
41,"New Mexico",2007,"Predictive Power Rating","10.4"
42,"Dayton",2007,"Predictive Power Rating","10.0"
43,"Oakland",2007,"Predictive Power Rating","9.7"
44,"Iowa St",2007,"Predictive Power Rating","9.6"
45,"Northwestern",2007,"Predictive Power Rating","9.4"
46,"Vermont",2007,"Predictive Power Rating","9.3"
47,"Yale",2007,"Predictive Power Rating","6.1"
48,"Samford",2007,"Predictive Power Rating","3.3"
49,"Colorado",2007,"Predictive Power Rating","2.5"
50,"Duquesne",2007,"Predictive Power Rating","2.2"
51,"N Carolina",2007,"Predictive Power Rating","33.3"
52,"Kansas",2007,"Predictive Power Rating","29.4"
53,"Florida",2007,"Predictive Power Rating","29.3"
54,"Texas A&M",2007,"Predictive Power Rating","27.6"
55,"Wisconsin",2007,"Predictive Power Rating","25.8"
56,"Duke",2007,"Predictive Power Rating","25.0"
57,"Texas",2007,"Predictive Power Rating","23.2"
58,"Kentucky",2007,"Predictive Power Rating","22.8"
59,"Arizona",2007,"Predictive Power Rating","21.9"
60,"Oregon",2007,"Predictive Power Rating","21.9"
61,"Clemson",2007,"Predictive Power Rating","21.8"
62,"Tennessee",2007,"Predictive Power Rating","20.4"
63,"Illinois",2007,"Predictive Power Rating","20.4"
64,"Creighton",2007,"Predictive Power Rating","20.0"
65,"Gonzaga",2007,"Predictive Power Rating","19.8"
66,"Purdue",2007,"Predictive Power Rating","19.7"
67,"Akron",2007,"Predictive Power Rating","19.6"
68,"Marquette",2007,"Predictive Power Rating","19.6"
69,"Connecticut",2007,"Predictive Power Rating","19.2"
70,"Wash State",2007,"Predictive Power Rating","19.2"
71,"BYU",2007,"Predictive Power Rating","19.1"
72,"Nevada",2007,"Predictive Power Rating","18.4"
73,"Virginia",2007,"Predictive Power Rating","18.2"
74,"Alabama",2007,"Predictive Power Rating","17.4"
75,"Texas Tech",2007,"Predictive Power Rating","16.4"
76,"San Diego St",2007,"Predictive Power Rating","14.4"
77,"NC State",2007,"Predictive Power Rating","14.2"
78,"Nebraska",2007,"Predictive Power Rating","13.8"
79,"Houston",2007,"Predictive Power Rating","13.3"
80,"Auburn",2007,"Predictive Power Rating","13.3"
81,"St Marys",2007,"Predictive Power Rating","12.7"
82,"Baylor",2007,"Predictive Power Rating","12.1"
83,"UAB",2007,"Predictive Power Rating","11.9"
84,"Lg Beach St",2007,"Predictive Power Rating","11.8"
85,"Boise St",2007,"Predictive Power Rating","11.7"
86,"Drake",2007,"Predictive Power Rating","11.4"
87,"W Kentucky",2007,"Predictive Power Rating","11.3"
88,"Col Charlestn",2007,"Predictive Power Rating","11.2"
89,"Colorado St",2007,"Predictive Power Rating","10.8"
90,"S Carolina",2007,"Predictive Power Rating","10.5"
91,"New Mexico",2007,"Predictive Power Rating","10.4"
92,"Dayton",2007,"Predictive Power Rating","10.0"
93,"Oakland",2007,"Predictive Power Rating","9.7"
94,"Iowa St",2007,"Predictive Power Rating","9.6"
95,"Northwestern",2007,"Predictive Power Rating","9.4"
96,"Vermont",2007,"Predictive Power Rating","9.3"
97,"Yale",2007,"Predictive Power Rating","6.1"
98,"Samford",2007,"Predictive Power Rating","3.3"
99,"Colorado",2007,"Predictive Power Rating","2.5"
100,"Duquesne",2007,"Predictive Power Rating","2.2"
101,"Montana St",2007,"Predictive Power Rating","0.2"
102,"Colgate",2007,"Predictive Power Rating","0.1"
103,"McNeese St",2007,"Predictive Power Rating","-0.1"
104,"Morehead St",2007,"Predictive Power Rating","-0.5"
105,"Wagner",2007,"Predictive Power Rating","-1.7"
106,"James Mad",2007,"Predictive Power Rating","-1.9"
107,"Stetson",2007,"Predictive Power Rating","-3.1"
108,"St Peters",2007,"Predictive Power Rating","-4.2"
109,"Longwood",2007,"Predictive Power Rating","-5.4"
110,"S Dakota St",2007,"Predictive Power Rating","-5.7"
111,"Howard",2007,"Predictive Power Rating","-7.4"
112,"Grambling St",2007,"Predictive Power Rating","-8.7"
113,"N Carolina",2007,"Strength of Schedule Power Rating","19.9"
114,"Duke",2007,"Strength of Schedule Power Rating","18.6"
115,"Kentucky",2007,"Strength of Schedule Power Rating","18.6"
116,"Florida",2007,"Strength of Schedule Power Rating","17.9"
